
naa guuta
lii guuta'lu
laabe guuta'be
laanu guuta'nu
laadu guuta'du
laatu guuta'tu
naa gunaxhia
lii gunaxhii'lu
laabe gunaxhii'be
laanu gunaxhii'nu
laadu gunaxhii'du
laatu gunaxhii'tu
naa biziide
lii biziidi'lu
laabe biziidi'be
laanu biziidi'nu
laadu biziidi'du
laatu biziidi'tu
naa guuze
lii guuze'lu
laabe guuze'be
laanu guuze'nu
laadu guuze'du
laatu guuze'tu
naa biinda
lii biinda'lu
laabe biinda'be
laanu biinda'nu
laadu biinda'du
laatu biinda'tu
naa guziá
lii guzi'lu
laabe guzi'be
laanu guzi'nu
laadu guzi'du
laatu guzi'tu
naa binebiá
lii binibiá'lu
laabe binibia'be
laanu binibiá'nu
laadu binibiá'du
laatu binibiá'tu
naa bixoñe
lii bixoñe'lu
laabe bixoñe'be
laanu bixoñe'nu
laadu bixoñe'du
laatu bixoñe'tu
naa bigaya
lii biga'lu
laabe biga'be
laanu biga'nu
laadu biga'du
laatu biga'tu
naa bidiá
lii bidi'lu
laabe bidi'be
laanu bidi'nu
laadu bidi'du
laatu bidi'tu
naa gudxe
lii gudxi'lu
laabe gudxi'be
laanu gudxi'nu
laadu gudxi'du
laatu gudxi'tu
naa bisana
lii bisana'lu
laabe bisana'be
laanu bisana'nu
laadu bisana'du
laatu bisana'tu
naa guse
lii gusi'lu
laabe gusi'be
laanu gusi'nu
laadu gusi'du
laatu gusi'tu
naa guliá
lii guli'lu
laabe guli'be
laanu guli'nu
laadu guli'du
laatu guli'tu
naa bizuloá
lii bizulo'lu
laabe bizuló'be
laanu bizulo'nu
laadu bizulo'du
laatu bizulo'tu
naa bidxeela
lii bidxela'lu
laabe bidxeela'be
laanu bidxela'nu
laadu bidxela'du
laatu bidxela'tu
naa guca huaraya
lii guca huara'lu
laabe guca huara'be
laanu guca huara'nu
laadu guca huara'du
laatu guca huara'tu
naa bisiide
lii bissidi'lu
laabe bissidi'be
laanu bissidi'nu
laadu bissidi'du
laatu bissidi'tu
naa bioá
lii bioa'lu
laabe bioa'be
laanu bioa'nu
laadu bioa'du
laatu bioa'tu
naa bisenda
lii bisenda'lu
laabe bisenda'be
laanu bisenda'nu
laadu bisenda'du
laatu bisenda'tu
naa bicáa
lii bicaa'lu
laabe bicaa'be
laanu bicaa'nu
laadu bicaa'du
laatu bicaa'tu
naa biina
lii biina'lu
laabe biina'be
laanu biina'nu
laadu biina'du
laatu biina'tu
naa guleeza
lii guleeza'lu
laabe guleeza'be
laanu guleeza'nu
laadu guleeza'du
laatu guleeza'tu
naa biziide
lii biziidi'lu
laabe biziidi'be
laanu biziidi'nu
laadu biziidi'du
laatu biziidi'tu
naa guniá
lii guni'lu
laabe guni'be
laanu guni'nu
laadu guni'du
laatu guni'tu
naa bine
lii bini'lu
laabe bini'be
laanu bini'nu
laadu bini'du
laatu bini'tu
naa guyá
lii guye'lu
laabe guye'be
laanu guye'nu
laadu guye'du
laatu guye'tu
naa gudxite
lii gudxite'lu
laabe gudxite'be
laanu gudxite'nu
laadu gudxite'du
laatu gudxite'tu
naa binda
lii binda'lu
laabe binda'be
laanu binda'nu
laadu binda'du
laatu binda'tu
naa bisiaya
lii bisia'lu
laabe bisia'be
laanu bisia'nu
laadu bisia'du
laatu bisia'tu
naa yendaaya
lii yendaa'lu
laabe yendaa'be
laanu yendaa'nu
laadu yendao'du
laatu yendao'tu
naa yeneá
lii yene'lu
laabe yene'be
laanu yune'nu
laadu yune'du
laatu yune'tu
naa bisaaya
lii bisaa'lu
laabe bisaa'be
laanu bisaa'nu
laadu bisaa'du
laatu bisaa'tu
naa biyadxiá
lii biyadxi'lu
laabe biyadxi'be
laanu biyadxi'nu
laadu biyadxi'du
laatu biyadxi'tu
naa bixoba
lii bixoba'lu
laabe bixoba'be
laanu bixoba'nu
laadu bixoba'du
laatu bixoba'tu
naa bisianda
lii bisianda'lu
laabe bisianda'be
laanu bisianda'nu
laadu bisianda'du
laatu bisianda'tu
naa bisugaa
lii bisugaa'lu
laabe bisugaa'be
laanu bisugaa'nu
laadu bisugaa'du
laatu bisugaa'tu
naa gudiide
lii gudiidi'lu
laabe gudiidi'be
laanu gudiidi'nu
laadu gudiidi'du
laatu gudiidi'tu
naa gunaba
lii gunaba'lu
laabe gunaba'be
laanu gunaba'nu
laadu gunaba'du
laatu gunaba'tu
naa bicá
lii bica'lu
laabe bica'be
laanu bica'nu
laadu bica'du
laatu bica'tu
naa guni ique
lii guni ique'lu
laabe guni ique'be
laanu guni ique'nu
laadu guni ique'du
laatu guni ique'tu
naa biui diidxa
lii biui'lu diidxa
laabe biui diidxa'be
laanu biui'nu diidxa
laadu biui'nu diidxa
laatu biui'nu diidxa
naa gudxhe
lii gudxhe'lu
laabe gudxhe'be
laanu gudxhe'nu
laadu gudxhe'du
laatu gudxhe'tu
naa bitiñe
lii bitiñe'lu
laabe bitine'be
laanu bitine'nu
laadu bitine'du
laatu bitine'tu
naa gunna
lii gunna'lu
laabe gunna'be
laanu gunna'nu
laadu gunna'du
laatu gunna'tu
naa bireá
lii bire'lu
laabe bire'be
laanu bire'nu
laadu bire'du
laatu bire'tu
naa bisianda
lii bisianda'lu
laabe bisianda'be
laanu bisianda'nu
laadu bisianda'du
laatu bisianda'tu
naa guyá
lii guye'lu
laabe guye'be
laanu guye'nu
laadu guye'du
laatu guye'tu
naa gudxiba
lii gudxiba'lu
laabe gudxiba'be
laanu gudxiba'nu
laadu gudxiba'du
laatu gudxiba'tu
naa gupa
lii gupa'lu
laabe gupa'be
laanu gupa'nu
laadu gupa'du
laatu gupa'tu
naa gue / hueá
lii hue'lu
laabe hue'be
laanu hue'nu
laadu hue'du
laatu hue'tu
naa bine dxiiña
lii bini dxiiña'lu
laabe bini dxiiña'be
laanu bini dxiiña'nu
laadu bini dxiiña'du
laatu bini dxiiña'tu
naa bedaneá
lii bendane'lu
laabe bendane'be
laanu bendane'nu
laadu bendane'du
laatu bendane'tu
naa biquiñe
lii biquine'lu
laabe biquine'be
laanu biquine'nu
laadu biquine'du
laatu biquine'tu
naa biá
lii biá'lu
laabe biá'be
laanu bidúya'nu
laadu bidúya'du
laatu bidúya'tu
naa yeganna
lii yeganna'lu
laabe yeganna'be
laanu yeganna'nu
laadu yeganna'du
laatu yeganna'tu
naa guleza
lii guleza'lu
laabe guleza'be
laanu guleza'nu
laadu guleza'du
laatu guleza'tu
naa ubigueta
lii ubigueta'lu
laabe ubigueta'be
laanu ubigueta'nu
laadu ubigueta'du
laatu ubigueta'tu
