Verbo didxazá/didxastía,1ra persona del singular,2da persona del singular ,3ra persona del singular,1ra persona del plural incluyente,1ra persona del plural excluyente ,2da persona del plural
,,,,,,
GUUTA,,,,,,
ACOSTÓ,Yo me acoste,Tu te acostaste,El/la se acostó ,Nosotros nos acostamos(i),Nosotros nos acostamos(e),Ustedes se acostaron
,Naa guuta,Lii guuta'lu,Laabe guuta'be,Laanu guuta'nu,Laadu guuta'du,Laatu guuta'tu
,Naa guuta'lu,Lii guuta,Laabe guuta'lu,Laanu guuta'du,Laadu guuta'nu,Laatu guuta
,,,,,,
,,,,,,
GUNAXHIIA,,,,,,
AMÓ,Yo ame,Tu amaste,El/la amó,Nosotros nos amamos(i),Nostotros nos amamos(e),Ustedes se amaron
,Naa gunaxhia,Lii gunaxhii'lu,Laabe gunaxhii'be,Laanu gunaxhii'nu,Laadu gunaxhii'du,Laatu gunaxhii'tu
,Naa gunaxhia'lu,Lii gunaxhii,Laabe gunaxhii'lu,Laanu gunaxhii'du,Laadu gunaxhii'nu,Laatu gunaxhii
,,,,,,
BIZIIDE,,,,,,
APRENDIÓ,Yo aprendí,Tú aprendiste,El/la aprendió,Nosotros aprendimos (i),Nosotros aprendimos (e),ustedes aprendieron
,Naa biziide,Lii biziidi'lu,Laabe biziidi'be,Laanu biziidi'nu,Laadu biziidi'du,Laatu biziidi'tu
,Naa biziide'lu,Lii biziidi,Laabe biziidi'lu,Laanu biziidi'du,Laadu biziidi'nu,Laatu biziidi
,,,,,,
GUUZE,,,,,,
BAÑÓ,Yo me bañé,tú te bañaste,El/la se bañó,nosotros nos bañamos (i),nosotros nos bañamos (e),ustedes se bañaron
,Naa guuze,Lii guuze'lu,Laabe guuze'be,Laanu guuze'nu,Laadu guuze'du,Laatu guuze'tu
,Naa guuze'lu,Lii guuze,Laabe guuze'lu,Laanu guuze'du,Laadu guuze'nu,Laatu guuze
,,,,,,
BIINDA,,,,,,
CANTÓ,Yo canté,tú cantaste,El/la cantó,nosotros cantamos (i),nosotros cantamos (e),ustedes cantaron
,Naa biinda,Lii biinda'lu,Laabe biinda'be,Laanu biinda'nu,Laadu biinda'du,Laatu biinda'tu
,Naa biinda'lu,Lii biinda,Laabe biinda'lu,Laanu biinda'du,Laadu biinda'nu,Laatu biinda
,,,,,,
GUZIÁ,,,,,,
COMPRÓ,Yo compré,Tú compraste,El/la compró,nosotros compramos (i),nosotros compramos (e),ustedes compraron
,Naa guziá,Lii guzi'lu,Laabe guzi'be,Laanu guzi'nu,Laadu guzi'du,Laatu guzi'tu
,Naa guziá'lu,Lii guzi,Laabe guzi'lu,Laanu guzi'du,Laadu guzi'nu,Laatu guzi
,,,,,,
BINEBIÁ,,,,,,
